name,slug,ubereats_url,ubereats_status,ubereats_final_url,deliveroo_url,deliveroo_status,deliveroo_final_url,notes
Bowl Light Paris,bowl-light-paris,,missing,,https://deliveroo.fr/fr/search?query=Bowl+Light+Paris,broken,https://deliveroo.fr/fr/search?query=Bowl+Light+Paris,Deliveroo: HTTP 404
Bowl Republic,bowl-republic,,missing,,https://deliveroo.fr/fr/search?query=Bowl+Republic,broken,https://deliveroo.fr/fr/search?query=Bowl+Republic,Deliveroo: HTTP 404
Bowl Society,bowl-society,,missing,,https://deliveroo.fr/fr/search?query=Bowl+Society,broken,https://deliveroo.fr/fr/search?query=Bowl+Society,Deliveroo: HTTP 404
Bowls & Co,bowls-and-co,,missing,,https://deliveroo.fr/fr/search?query=Bowls+et+Co,broken,https://deliveroo.fr/fr/search?query=Bowls+et+Co,Deliveroo: HTTP 404
Buddha Bowl Paris,buddha-bowl-paris,,missing,,https://deliveroo.fr/fr/search?query=Buddha+Bowl+Paris,broken,https://deliveroo.fr/fr/search?query=Buddha+Bowl+Paris,Deliveroo: HTTP 404
Buddha Lab,buddha-lab,,missing,,https://deliveroo.fr/fr/search?query=Buddha+Lab,broken,https://deliveroo.fr/fr/search?query=Buddha+Lab,Deliveroo: HTTP 404
Cabane Café,cabane-cafe,,missing,,https://deliveroo.fr/fr/search?query=Cabane+Cafe,broken,https://deliveroo.fr/fr/search?query=Cabane+Cafe,Deliveroo: HTTP 404
Café Charlot,cafe-charlot,,missing,,https://deliveroo.fr/fr/search?query=Cafe+Charlot,broken,https://deliveroo.fr/fr/search?query=Cafe+Charlot,Deliveroo: HTTP 404
Café Lomi,cafe-lomi,,missing,,https://deliveroo.fr/fr/search?query=Cafe+Lomi,broken,https://deliveroo.fr/fr/search?query=Cafe+Lomi,Deliveroo: HTTP 404
Café Mareva,cafe-mareva,,missing,,https://deliveroo.fr/fr/search?query=Cafe+Mareva,broken,https://deliveroo.fr/fr/search?query=Cafe+Mareva,Deliveroo: HTTP 404
Café Méricourt,cafe-mericourt,,missing,,https://deliveroo.fr/fr/search?query=Cafe+Mericourt,broken,https://deliveroo.fr/fr/search?query=Cafe+Mericourt,Deliveroo: HTTP 404
Café Pinson Filles du Calvaire,cafe-pinson-filles-du-calvaire,,missing,,https://deliveroo.fr/fr/search?query=Cafe+Pinson+Filles+du+Calvaire,broken,https://deliveroo.fr/fr/search?query=Cafe+Pinson+Filles+du+Calvaire,Deliveroo: HTTP 404
Café Pinson Marais,cafe-pinson-marais,,missing,,https://deliveroo.fr/fr/search?query=Cafe+Pinson+Marais,broken,https://deliveroo.fr/fr/search?query=Cafe+Pinson+Marais,Deliveroo: HTTP 404
Café Smörgås,cafe-smorgas,,missing,,https://deliveroo.fr/fr/search?query=Cafe+Smorgas,broken,https://deliveroo.fr/fr/search?query=Cafe+Smorgas,Deliveroo: HTTP 404
Carette Trocadéro,carette-trocadero,,missing,,https://deliveroo.fr/fr/search?query=Carette+Trocadero,broken,https://deliveroo.fr/fr/search?query=Carette+Trocadero,Deliveroo: HTTP 404
Chambelland,chambelland,,missing,,https://deliveroo.fr/fr/search?query=Chambelland,broken,https://deliveroo.fr/fr/search?query=Chambelland,Deliveroo: HTTP 404
Class Croute Marais,class-croute-marais,,missing,,https://deliveroo.fr/fr/search?query=Class+Croute+Marais,broken,https://deliveroo.fr/fr/search?query=Class+Croute+Marais,Deliveroo: HTTP 404
Class Croute Opéra,class-croute-opera,,missing,,https://deliveroo.fr/fr/search?query=Class+Croute+Opera,broken,https://deliveroo.fr/fr/search?query=Class+Croute+Opera,Deliveroo: HTTP 404
Clean Burger Marais,clean-burger-marais,,missing,,https://deliveroo.fr/fr/search?query=Clean+Burger+Marais,broken,https://deliveroo.fr/fr/search?query=Clean+Burger+Marais,Deliveroo: HTTP 404
Cloud Cakes,cloud-cakes,,missing,,https://deliveroo.fr/fr/search?query=Cloud+Cakes,broken,https://deliveroo.fr/fr/search?query=Cloud+Cakes,Deliveroo: HTTP 404
Cojean,cojean-dc3ecb84,https://ubereats.com,placeholder,https://ubereats.com,https://deliveroo.fr,placeholder,https://deliveroo.fr,Uber: root_homepage_only | Deliveroo: root_homepage_only
Cojean,cojean-dc8717c0,https://ubereats.com,placeholder,https://ubereats.com,https://deliveroo.fr,placeholder,https://deliveroo.fr,Uber: root_homepage_only | Deliveroo: root_homepage_only
Cojean,cojean-58ae0dd3,https://ubereats.com,placeholder,https://ubereats.com,https://deliveroo.fr,placeholder,https://deliveroo.fr,Uber: root_homepage_only | Deliveroo: root_homepage_only
Cojean,cojean-05cb6c4b,https://ubereats.com,placeholder,https://ubereats.com,https://deliveroo.fr,placeholder,https://deliveroo.fr,Uber: root_homepage_only | Deliveroo: root_homepage_only
Cojean,cojean-9600c08f,https://ubereats.com,placeholder,https://ubereats.com,https://deliveroo.fr,placeholder,https://deliveroo.fr,Uber: root_homepage_only | Deliveroo: root_homepage_only
Cojean Bastille,cojean-bastille,,missing,,https://deliveroo.fr/fr/search?query=Cojean+Bastille,broken,https://deliveroo.fr/fr/search?query=Cojean+Bastille,Deliveroo: HTTP 404
Cojean Bourse,cojean-bourse,,missing,,https://deliveroo.fr/fr/search?query=Cojean+Bourse,broken,https://deliveroo.fr/fr/search?query=Cojean+Bourse,Deliveroo: HTTP 404
Cojean Champs-Élysées,cojean-champs-elysees,,missing,,https://deliveroo.fr/fr/search?query=Cojean+Champs-Elysees,broken,https://deliveroo.fr/fr/search?query=Cojean+Champs-Elysees,Deliveroo: HTTP 404
Cojean Châtelet,cojean-chatelet,,missing,,https://deliveroo.fr/fr/search?query=Cojean+Chatelet,broken,https://deliveroo.fr/fr/search?query=Cojean+Chatelet,Deliveroo: HTTP 404
Cojean Étienne Marcel,cojean-etienne-marcel,,missing,,https://deliveroo.fr/fr/search?query=Cojean+Etienne+Marcel,broken,https://deliveroo.fr/fr/search?query=Cojean+Etienne+Marcel,Deliveroo: HTTP 404
Cojean Madeleine,cojean-madeleine,,missing,,https://deliveroo.fr/fr/search?query=Cojean+Madeleine,broken,https://deliveroo.fr/fr/search?query=Cojean+Madeleine,Deliveroo: HTTP 404
Cojean Protein Opéra,cojean-protein-opera,,missing,,https://deliveroo.fr/fr/search?query=Cojean+Protein+Opera,broken,https://deliveroo.fr/fr/search?query=Cojean+Protein+Opera,Deliveroo: HTTP 404
Cojean République,cojean-republique,,missing,,https://deliveroo.fr/fr/search?query=Cojean+Republique,broken,https://deliveroo.fr/fr/search?query=Cojean+Republique,Deliveroo: HTTP 404
Cojean Saint-Lazare,cojean-saint-lazare,,missing,,https://deliveroo.fr/fr/search?query=Cojean+Saint-Lazare,broken,https://deliveroo.fr/fr/search?query=Cojean+Saint-Lazare,Deliveroo: HTTP 404
Cold Press Lab,cold-press-lab,,missing,,https://deliveroo.fr/fr/search?query=Cold+Press+Lab,broken,https://deliveroo.fr/fr/search?query=Cold+Press+Lab,Deliveroo: HTTP 404
Coral Poke,coral-poke,,missing,,https://deliveroo.fr/fr/search?query=Coral+Poke,broken,https://deliveroo.fr/fr/search?query=Coral+Poke,Deliveroo: HTTP 404
Cosmic Bowls,cosmic-bowls,,missing,,https://deliveroo.fr/fr/search?query=Cosmic+Bowls,broken,https://deliveroo.fr/fr/search?query=Cosmic+Bowls,Deliveroo: HTTP 404
Coutume Café,coutume-cafe,,missing,,https://deliveroo.fr/fr/search?query=Coutume+Cafe,broken,https://deliveroo.fr/fr/search?query=Coutume+Cafe,Deliveroo: HTTP 404
Crisp & Co,crisp-and-co,,missing,,https://deliveroo.fr/fr/search?query=Crisp+%26+Co,broken,https://deliveroo.fr/fr/search?query=Crisp+%26+Co,Deliveroo: HTTP 404
Crisp Greens Bastille,crisp-greens-bastille,,missing,,https://deliveroo.fr/fr/search?query=Crisp+Greens+Bastille,broken,https://deliveroo.fr/fr/search?query=Crisp+Greens+Bastille,Deliveroo: HTTP 404
Cuillier Montmartre,cuillier-montmartre,,missing,,https://deliveroo.fr/fr/search?query=Cuillier+Montmartre,broken,https://deliveroo.fr/fr/search?query=Cuillier+Montmartre,Deliveroo: HTTP 404
Daily Monop Bastille,daily-monop-bastille,,missing,,https://deliveroo.fr/fr/search?query=Daily+Monop+Bastille,broken,https://deliveroo.fr/fr/search?query=Daily+Monop+Bastille,Deliveroo: HTTP 404
Daily Monop Châtelet,daily-monop-chatelet,,missing,,https://deliveroo.fr/fr/search?query=Daily+Monop+Chatelet,broken,https://deliveroo.fr/fr/search?query=Daily+Monop+Chatelet,Deliveroo: HTTP 404
Daily Pic,daily-pic,,missing,,https://deliveroo.fr/fr/search?query=Daily+Pic,broken,https://deliveroo.fr/fr/search?query=Daily+Pic,Deliveroo: HTTP 404
Daluma,daluma,,missing,,https://deliveroo.fr/fr/search?query=Daluma,broken,https://deliveroo.fr/fr/search?query=Daluma,Deliveroo: HTTP 404
Daylesford Marais,daylesford-marais,,missing,,https://deliveroo.fr/fr/search?query=Daylesford+Marais,broken,https://deliveroo.fr/fr/search?query=Daylesford+Marais,Deliveroo: HTTP 404
Daylesford Organic Paris,daylesford-organic-paris,,missing,,https://deliveroo.fr/fr/search?query=Daylesford+Organic+Paris,broken,https://deliveroo.fr/fr/search?query=Daylesford+Organic+Paris,Deliveroo: HTTP 404
Daylesford Saint-Germain,daylesford-saint-germain,,missing,,https://deliveroo.fr/fr/search?query=Daylesford+Saint-Germain,broken,https://deliveroo.fr/fr/search?query=Daylesford+Saint-Germain,Deliveroo: HTTP 404
Detox Bar,detox-bar,,missing,,https://deliveroo.fr/fr/search?query=Detox+Bar,broken,https://deliveroo.fr/fr/search?query=Detox+Bar,Deliveroo: HTTP 404
Earth Café Marais,earth-cafe-marais,,missing,,https://deliveroo.fr/fr/search?query=Earth+Cafe+Marais,broken,https://deliveroo.fr/fr/search?query=Earth+Cafe+Marais,Deliveroo: HTTP 404
East Side Burgers,east-side-burgers,,missing,,https://deliveroo.fr/fr/search?query=East+Side+Burgers,broken,https://deliveroo.fr/fr/search?query=East+Side+Burgers,Deliveroo: HTTP 404
Eat Smart Paris,eat-smart-paris,,missing,,https://deliveroo.fr/fr/search?query=Eat+Smart+Paris,broken,https://deliveroo.fr/fr/search?query=Eat+Smart+Paris,Deliveroo: HTTP 404
Echo,echo-paris,,missing,,https://deliveroo.fr/fr/search?query=Echo+Paris,broken,https://deliveroo.fr/fr/search?query=Echo+Paris,Deliveroo: HTTP 404
Exki Bastille,exki-bastille,,missing,,https://deliveroo.fr/fr/search?query=Exki+Bastille,broken,https://deliveroo.fr/fr/search?query=Exki+Bastille,Deliveroo: HTTP 404
Exki Bourse,exki-bourse,,missing,,https://deliveroo.fr/fr/search?query=Exki+Bourse,broken,https://deliveroo.fr/fr/search?query=Exki+Bourse,Deliveroo: HTTP 404
Exki Châtelet,exki-chatelet,,missing,,https://deliveroo.fr/fr/search?query=Exki+Chatelet,broken,https://deliveroo.fr/fr/search?query=Exki+Chatelet,Deliveroo: HTTP 404
Exki Châtelet Les Halles,exki-chatelet-les-halles,,missing,,https://deliveroo.fr/fr/search?query=Exki+Chatelet+Les+Halles,broken,https://deliveroo.fr/fr/search?query=Exki+Chatelet+Les+Halles,Deliveroo: HTTP 404
Exki Hôtel de Ville,exki-hotel-de-ville,,missing,,https://deliveroo.fr/fr/search?query=Exki+Hotel+de+Ville,broken,https://deliveroo.fr/fr/search?query=Exki+Hotel+de+Ville,Deliveroo: HTTP 404
Exki Madeleine,exki-madeleine,,missing,,https://deliveroo.fr/fr/search?query=Exki+Madeleine,broken,https://deliveroo.fr/fr/search?query=Exki+Madeleine,Deliveroo: HTTP 404
Exki République,exki-republique,,missing,,https://deliveroo.fr/fr/search?query=Exki+Republique,broken,https://deliveroo.fr/fr/search?query=Exki+Republique,Deliveroo: HTTP 404
Exki Saint-Germain,exki-saint-germain,,missing,,https://deliveroo.fr/fr/search?query=Exki+Saint-Germain,broken,https://deliveroo.fr/fr/search?query=Exki+Saint-Germain,Deliveroo: HTTP 404
Exki Strasbourg-Saint-Denis,exki-strasbourg-saint-denis,,missing,,https://deliveroo.fr/fr/search?query=Exki+Strasbourg-Saint-Denis,broken,https://deliveroo.fr/fr/search?query=Exki+Strasbourg-Saint-Denis,Deliveroo: HTTP 404
Field Greens Café,field-greens-cafe,,missing,,https://deliveroo.fr/fr/search?query=Field+Greens+Cafe,broken,https://deliveroo.fr/fr/search?query=Field+Greens+Cafe,Deliveroo: HTTP 404
Fit & Lean,fit-and-lean,,missing,,https://deliveroo.fr/fr/search?query=Fit+%26+Lean,broken,https://deliveroo.fr/fr/search?query=Fit+%26+Lean,Deliveroo: HTTP 404
Foundation Tea House,foundation-tea-house,,missing,,https://deliveroo.fr/fr/search?query=Foundation+Tea+House,broken,https://deliveroo.fr/fr/search?query=Foundation+Tea+House,Deliveroo: HTTP 404
Fragments Coffee,fragments-coffee,,missing,,https://deliveroo.fr/fr/search?query=Fragments+Coffee,broken,https://deliveroo.fr/fr/search?query=Fragments+Coffee,Deliveroo: HTTP 404
Free & Healthy,free-and-healthy,,missing,,https://deliveroo.fr/fr/search?query=Free+Healthy,broken,https://deliveroo.fr/fr/search?query=Free+Healthy,Deliveroo: HTTP 404
Fringe Coffee,fringe-coffee,,missing,,https://deliveroo.fr/fr/search?query=Fringe+Coffee,broken,https://deliveroo.fr/fr/search?query=Fringe+Coffee,Deliveroo: HTTP 404
Garden Bowl Café,garden-bowl-cafe,,missing,,https://deliveroo.fr/fr/search?query=Garden+Bowl+Cafe,broken,https://deliveroo.fr/fr/search?query=Garden+Bowl+Cafe,Deliveroo: HTTP 404
Garden Salad Bar,garden-salad-bar,,missing,,https://deliveroo.fr/fr/search?query=Garden+Salad+Bar,broken,https://deliveroo.fr/fr/search?query=Garden+Salad+Bar,Deliveroo: HTTP 404
Gentle Gourmet,gentle-gourmet,,missing,,https://deliveroo.fr/fr/search?query=Gentle+Gourmet,broken,https://deliveroo.fr/fr/search?query=Gentle+Gourmet,Deliveroo: HTTP 404
Glow Juice Bar,glow-juice-bar,,missing,,https://deliveroo.fr/fr/search?query=Glow+Juice+Bar,broken,https://deliveroo.fr/fr/search?query=Glow+Juice+Bar,Deliveroo: HTTP 404
Green Factory,green-factory,,missing,,https://deliveroo.fr/fr/search?query=Green+Factory,broken,https://deliveroo.fr/fr/search?query=Green+Factory,Deliveroo: HTTP 404
Greenheart République,greenheart-republique,,missing,,https://deliveroo.fr/fr/search?query=Greenheart+Republique,broken,https://deliveroo.fr/fr/search?query=Greenheart+Republique,Deliveroo: HTTP 404
GreenSheep Burger,greensheep-burger,,missing,,https://deliveroo.fr/fr/search?query=GreenSheep+Burger,broken,https://deliveroo.fr/fr/search?query=GreenSheep+Burger,Deliveroo: HTTP 404
Hank Vegan Burger,hank-vegan-burger,,missing,,https://deliveroo.fr/fr/search?query=Hank+Vegan+Burger,broken,https://deliveroo.fr/fr/search?query=Hank+Vegan+Burger,Deliveroo: HTTP 404
Hank Vegan Burger Bastille,hank-vegan-burger-bastille,,missing,,https://deliveroo.fr/fr/search?query=Hank+Vegan+Burger+Bastille,broken,https://deliveroo.fr/fr/search?query=Hank+Vegan+Burger+Bastille,Deliveroo: HTTP 404
Hank Vegan Burger Saint-Germain,hank-vegan-burger-saint-germain,,missing,,https://deliveroo.fr/fr/search?query=Hank+Vegan+Burger+Saint-Germain,broken,https://deliveroo.fr/fr/search?query=Hank+Vegan+Burger+Saint-Germain,Deliveroo: HTTP 404
Hardware Société,hardware-societe,,missing,,https://deliveroo.fr/fr/search?query=Hardware+Societe,broken,https://deliveroo.fr/fr/search?query=Hardware+Societe,Deliveroo: HTTP 404
Hawaii Bowl Paris,hawaii-bowl-paris,,missing,,https://deliveroo.fr/fr/search?query=Hawaii+Bowl+Paris,broken,https://deliveroo.fr/fr/search?query=Hawaii+Bowl+Paris,Deliveroo: HTTP 404
Hawaiian Poke Bastille,hawaiian-poke-bastille,,missing,,https://deliveroo.fr/fr/search?query=Hawaiian+Poke+Bastille,broken,https://deliveroo.fr/fr/search?query=Hawaiian+Poke+Bastille,Deliveroo: HTTP 404
Healthy Bowl Bar,healthy-bowl-bar,,missing,,https://deliveroo.fr/fr/search?query=Healthy+Bowl+Bar,broken,https://deliveroo.fr/fr/search?query=Healthy+Bowl+Bar,Deliveroo: HTTP 404
Healthy Box Paris,healthy-box-paris,,missing,,https://deliveroo.fr/fr/search?query=Healthy+Box+Paris,broken,https://deliveroo.fr/fr/search?query=Healthy+Box+Paris,Deliveroo: HTTP 404
Healthy Express Paris,healthy-express-paris,,missing,,https://deliveroo.fr/fr/search?query=Healthy+Express+Paris,broken,https://deliveroo.fr/fr/search?query=Healthy+Express+Paris,Deliveroo: HTTP 404
Helmut Newcake,helmut-newcake,,missing,,https://deliveroo.fr/fr/search?query=Helmut+Newcake,broken,https://deliveroo.fr/fr/search?query=Helmut+Newcake,Deliveroo: HTTP 404
Hexagone Café,hexagone-cafe,,missing,,https://deliveroo.fr/fr/search?query=Hexagone+Cafe,broken,https://deliveroo.fr/fr/search?query=Hexagone+Cafe,Deliveroo: HTTP 404
Hexagone Marais,hexagone-marais,,missing,,https://deliveroo.fr/fr/search?query=Hexagone+Marais,broken,https://deliveroo.fr/fr/search?query=Hexagone+Marais,Deliveroo: HTTP 404
Hivi Poke Beaubourg,hivi-poke-beaubourg,,missing,,https://deliveroo.fr/fr/search?query=Hivi+Poke+Beaubourg,broken,https://deliveroo.fr/fr/search?query=Hivi+Poke+Beaubourg,Deliveroo: HTTP 404
Holy Bowl Pigalle,holy-bowl-pigalle,,missing,,https://deliveroo.fr/fr/search?query=Holy+Bowl+Pigalle,broken,https://deliveroo.fr/fr/search?query=Holy+Bowl+Pigalle,Deliveroo: HTTP 404
Holy Poke Opéra,holy-poke-opera,,missing,,https://deliveroo.fr/fr/search?query=Holy+Poke+Opera,broken,https://deliveroo.fr/fr/search?query=Holy+Poke+Opera,Deliveroo: HTTP 404
Holybelly 19,holybelly-19,,missing,,https://deliveroo.fr/fr/search?query=Holybelly+19,broken,https://deliveroo.fr/fr/search?query=Holybelly+19,Deliveroo: HTTP 404
Holybelly 5,holybelly-5,,missing,,https://deliveroo.fr/fr/search?query=Holybelly+5,broken,https://deliveroo.fr/fr/search?query=Holybelly+5,Deliveroo: HTTP 404
Holybelly Père Lachaise,holybelly-pere-lachaise,,missing,,https://deliveroo.fr/fr/search?query=Holybelly+Pere+Lachaise,broken,https://deliveroo.fr/fr/search?query=Holybelly+Pere+Lachaise,Deliveroo: HTTP 404
